,start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
1335494,2014-07-14 16:23,6255,2014-07-14 16:29,6915,326,1
1114525,2014-07-02 14:46,6183,2014-07-02 15:18,6097,1963,0
2821984,2014-10-11 17:50,6150,2014-10-11 17:57,6129,416,1
2007936,2014-08-20 20:01,6184,2014-08-20 20:07,6152,365,1
2491929,2014-09-18 07:29,6004,2014-09-18 07:33,6032,248,1
3039455,2014-11-03 09:31,6913,2014-11-03 09:44,6177,779,1
737197,2014-06-10 16:31,6170,2014-06-10 16:44,6131,764,1
975811,2014-06-25 10:14,6385,2014-06-25 10:26,6171,714,1
1307824,2014-07-12 15:39,6151,2014-07-12 15:52,6386,780,1
580883,2014-06-01 23:40,6912,2014-06-01 23:55,6371,894,1
600648,2014-06-02 22:30,6021,2014-06-02 22:42,6100,698,1
1154634,2014-07-04 14:38,6248,2014-07-04 15:01,6370,1354,1
2373024,2014-09-09 23:04,6018,2014-09-09 23:06,6729,134,1
2396006,2014-09-11 09:07,6243,2014-09-11 09:31,6073,1430,1
1784878,2014-08-07 10:51,6007,2014-08-07 11:17,6142,1551,1
3045683,2014-11-03 21:44,6333,2014-11-03 22:05,6154,1257,1
2497274,2014-09-18 12:40,6152,2014-09-18 12:53,6009,792,1
723627,2014-06-09 19:12,6032,2014-06-09 19:24,6213,722,1
2463719,2014-09-16 14:15,6225,2014-09-16 14:23,6070,484,1
3097405,2014-11-10 16:06,6067,2014-11-10 16:14,6096,427,1
2118216,2014-08-26 17:56,6902,2014-08-26 18:10,6061,849,1
1490028,2014-07-22 11:28,6406,2014-07-22 11:58,6122,1837,1
2078165,2014-08-24 17:30,6012,2014-08-24 17:39,6123,551,1
2662635,2014-09-29 07:10,6386,2014-09-29 07:31,6009,1239,1
3072157,2014-11-06 17:19,6062,2014-11-06 17:33,6116,874,1
2731050,2014-10-03 11:00,6502,2014-10-03 11:02,6502,97,1
318615,2014-05-16 08:52,6102,2014-05-16 08:56,6100,267,0
2651277,2014-09-28 11:32,6019,2014-09-28 11:42,6068,606,0
427568,2014-05-23 16:50,6221,2014-05-23 17:00,6165,621,1
1434007,2014-07-19 13:00,6403,2014-07-19 13:25,6026,1449,0
564245,2014-06-01 01:49,6907,2014-06-01 01:59,6733,611,1
1278117,2014-07-11 07:50,6065,2014-07-11 07:52,6059,120,1
3071376,2014-11-06 16:26,6418,2014-11-06 16:38,6097,752,1
61926,2014-04-25 11:07,6042,2014-04-25 11:12,6067,270,1
2576835,2014-09-24 07:25,6088,2014-09-24 07:33,6049,477,1
2273708,2014-09-04 09:52,6034,2014-09-04 10:02,6052,634,1
700923,2014-06-08 16:22,6216,2014-06-08 16:42,6059,1197,1
1478883,2014-07-21 18:42,6280,2014-07-21 18:47,6231,292,1
1718003,2014-08-04 00:27,6241,2014-08-04 00:31,6231,254,0
2540004,2014-09-21 12:53,6146,2014-09-21 12:59,6186,382,1
2097208,2014-08-25 17:51,6039,2014-08-25 18:11,6118,1214,1
925337,2014-06-21 17:40,6004,2014-06-21 17:57,6406,1058,1
1069900,2014-06-29 22:45,6083,2014-06-29 22:56,6107,628,0
2749243,2014-10-05 10:32,6116,2014-10-05 10:54,6118,1321,1
1853254,2014-08-10 21:48,6113,2014-08-10 21:52,6118,251,1
577497,2014-06-01 18:43,6730,2014-06-01 18:56,6361,776,1
2495332,2014-09-18 09:51,6221,2014-09-18 09:55,6201,239,1
1741721,2014-08-05 09:02,6929,2014-08-05 09:15,6327,736,1
684277,2014-06-07 17:43,6087,2014-06-07 17:51,6408,492,1
2188430,2014-08-30 09:37,6094,2014-08-30 09:44,6231,403,1
2587450,2014-09-24 17:25,6148,2014-09-24 17:38,6067,778,1
501409,2014-05-28 17:56,6046,2014-05-28 18:10,6213,825,1
1974959,2014-08-19 12:09,6038,2014-08-19 12:21,6011,758,1
2344517,2014-09-08 16:47,6217,2014-09-08 17:01,6149,857,1
2117502,2014-08-26 17:38,6316,2014-08-26 17:47,6717,561,1
2383569,2014-09-10 15:30,6218,2014-09-10 15:43,6110,814,1
1765454,2014-08-06 12:52,6184,2014-08-06 12:59,6212,445,1
293355,2014-05-14 19:44,6263,2014-05-14 19:48,6339,277,1
2858129,2014-10-15 08:04,6248,2014-10-15 08:13,6012,527,1
776848,2014-06-13 20:13,6231,2014-06-13 20:36,6194,1390,1
1259809,2014-07-10 10:43,6232,2014-07-10 10:53,6079,603,1
53525,2014-04-24 16:02,6147,2014-04-24 16:22,6376,1215,1
2151404,2014-08-28 11:59,6224,2014-08-28 12:04,6230,305,0
1928807,2014-08-15 23:25,6393,2014-08-15 23:34,6110,497,1
1181111,2014-07-05 19:08,6329,2014-07-05 19:14,6321,328,1
831279,2014-06-17 08:14,6158,2014-06-17 08:31,6012,982,1
1252931,2014-07-09 22:34,6164,2014-07-09 22:54,6424,1175,1
1356089,2014-07-15 17:38,6133,2014-07-15 17:44,6156,407,1
135230,2014-05-03 15:47,6098,2014-05-03 16:07,6036,1183,0
1201893,2014-07-07 00:13,6105,2014-07-07 00:22,6129,554,1
976403,2014-06-25 11:19,6275,2014-06-25 11:36,6191,991,1
1567106,2014-07-26 07:14,6086,2014-07-26 07:52,6051,2237,0
2306612,2014-09-05 19:49,6734,2014-09-05 19:54,6334,289,1
1131614,2014-07-03 09:16,6094,2014-07-03 09:25,6223,551,1
478818,2014-05-26 16:38,6141,2014-05-26 16:41,6153,142,1
457133,2014-05-25 12:32,6023,2014-05-25 12:39,6009,396,1
2689237,2014-09-30 18:08,6202,2014-09-30 18:42,6370,2033,1
2920479,2014-10-21 13:55,6729,2014-10-21 14:00,6119,295,1
2148621,2014-08-28 08:57,6167,2014-08-28 09:16,6043,1140,1
1199414,2014-07-06 20:27,6159,2014-07-06 20:48,6012,1217,0
